Threshold,Metric,PCK
0.05,per_keypoint,33.27
0.10,per_keypoint,46.62
0.15,per_keypoint,56.23
0.20,per_keypoint,63.83
0.05,per_image,29.83
0.10,per_image,42.10
0.15,per_image,51.36
0.20,per_image,59.09
