Threshold,PCK_PerKeypoint,PCK_MeanPerImage
0.05,34.264758639933035,30.699579046796828
0.1,50.25710527364771,45.395138993339266
0.15,58.47251564555347,53.60468277470887
0.2,64.9340295770718,60.234880489419766
