Threshold,PCK_PerKeypoint,PCK_MeanPerImage
0.05,19.93462749631283,16.84289517113937
0.1,31.68174751863515,27.444841801823816
0.15,41.00131542233029,36.18275028807033
0.2,49.5914218519552,44.60039865712109
